region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
BC,bc,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,both,very important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,,definitely yes,definitely yes,neither disagree nor agree,disagree,neither disagree nor agree,disagree,probably yes,24,canada,female,high school,third year,4,yes ,9,46 hours
TR,yt,British Columbia,strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,rarely,yes,definitely yes,definitely yes,might or might not,agree,disagree,strongly agree,disagree,definitely yes,34,canada,female,undergraduate degree,fourth year+,0,no,,12 hours
BC,bc,British Columbia,somewhat agree,probably not,yes,moderately comfortable,,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably not,no,no particular variety,rarely,yes,yes,probably yes,might or might not,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,24,canada,female,high school,third year,5,yes ,8,less than 30 minutes
BC,bc,British Columbia,strongly agree,probably yes,no,,unimportant,no,yes,yes but i cant describe it well,zed,very unimportant,probably not,probably not,probably not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,might or might not,strongly disagree,strongly disagree,,strongly disagree,definitely not,19,canada,male,high school,third year,0,yes ,8,12 hours
PE,pei,Prince Edward Island,,probably yes,no,,extremely unimportant,no,no,,zee,neither unimportant nor important,,definitely yes,,no,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,19,canada,male,other ,i am not currently studying,0,no,,24 hours
BC,bc,British Columbia,agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,both,neither unimportant nor important,probably not,,probably not,yes ,british english,sometimes,yes,,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,disagree,probably yes,24,canada,female,high school,fourth year+,3,yes ,11,46 hours
AB,ab,British Columbia,strongly disagreee,definitely yes,no,,,that depends ,no,,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,no particular variety,rarely,yes,no,definitely yes,might or might not,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably not,24,canada,other,other ,fourth year+,0,yes ,8,i dont use social media
BC,bc,British Columbia,strongly disagreee,probably yes,no,,important,no,no,,zed,important,probably yes,probably not,probably not,yes ,british english,sometimes,yes,definitely yes,probably yes,probably yes,agree,strongly disagree,agree,neither disagree nor agree,probably yes,24,canada,female,high school,third year,0,yes ,9,46 hours
ON,on,Ontario,agree,probably yes,yes,moderately comfortable,,that depends ,no,,zed,important,definitely yes,probably yes,probably yes,yes ,canadian english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,,24,canada,male,undergraduate degree,i am not currently studying,2,yes ,3,46 hours
ON,on,Ontario,strongly agree,definitely yes,yes,extremely comfortable,extremely important,no,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,probably yes,probably yes,agree,agree,strongly agree,agree,definitely yes,49,canada,female,undergraduate degree,i am not currently studying,2,no,,24 hours
ON,on,Ontario,strongly agree,neutral,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,definitely yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,49,canada,female,graduate degree,i am not currently studying,0,no,,less than 30 minutes
BC,bc,British Columbia,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,definitely yes,probably not,yes ,no particular variety,rarely,yes,definitely yes,definitely yes,definitely yes,disagree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,female,high school,third year,1,no,,24 hours
BC,bc,British Columbia,strongly agree,neutral,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably not,probably yes,no,british english,sometimes,no,no,definitely yes,definitely yes,strongly agree,disagree,neither disagree nor agree,strongly disagree,,24,canada,female,high school,third year,0,no,,30 minutes to 1 hour
ON,on,Prince Edward Island,strongly agree,probably yes,no,,important,yes,yes,yes but i cant describe it well,zee,unimportant,might or might not,probably not,definitely not,no,british english,often,yes,neither yes or no,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,64,canada,male,graduate degree,i am not currently studying,0,no,,less than 30 minutes
BC,bc,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,strongly disagree,disagree,agree,probably yes,24,canada,female,undergraduate degree,i am in a graduate program,8,yes ,9,46 hours
US,us,Ontario,strongly agree,definitely yes,yes,extremely comfortable,unimportant,no,yes,yes i do know it is ,both,neither unimportant nor important,probably not,probably yes,definitely not,no,other ,often,yes,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,strongly disagree,probably yes,54,canada,other,graduate degree,i am not currently studying,5,no,,less than 30 minutes
PE,pei,Prince Edward Island,strongly disagreee,probably yes,no,,unimportant,no,no,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,probably yes,definitely yes,agree,disagree,,strongly agree,probably yes,24,canada,female,undergraduate degree,i am not currently studying,0,no,,46 hours
AB,ab,British Columbia,agree,probably yes,yes,moderately comfortable,,yes,yes,yes but i cant describe it well,zed,unimportant,,probably not,definitely not,yes ,no particular variety,sometimes,,yes,definitely yes,probably yes,strongly disagree,strongly disagree,agree,strongly disagree,probably yes,44,canada,male,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
BC,bc,British Columbia,agree,probably yes,yes,extremely comfortable,,no,yes,yes but i cant describe it well,zee,unimportant,might or might not,,probably yes,,no particular variety,often,no,neither yes or no,definitely yes,probably yes,neither disagree nor agree,strongly disagree,strongly disagree,disagree,probably yes,19,canada,male,elementary school,i am not currently studying,9,yes ,13,24 hours
ON,on,British Columbia,strongly agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,probably not,yes ,british english,sometimes,yes,neither yes or no,probably yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,24,canada,female,high school,fourth year+,2,yes ,5,24 hours
ON,on,Nova Scotia,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,definitely yes,definitely yes,yes ,other ,sometimes,yes,yes,probably yes,definitely yes,neither disagree nor agree,strongly disagree,agree,neither disagree nor agree,probably yes,54,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
US,us,United States,strongly agree,probably yes,no,,important,no,no,,zee,neither unimportant nor important,might or might not,probably yes,,yes ,british english,sometimes,yes,neither yes or no,definitely yes,might or might not,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,united states,male,high school,second year,0,no,,12 hours
NB,nb,Nova Scotia,strongly agree,definitely yes,no,,extremely important,yes,not sure,,zed,very unimportant,definitely yes,definitely yes,definitely yes,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,agree,definitely yes,59,canada,female,postgraduate degree,i am not currently studying,0,no,,12 hours
US,us,British Columbia,strongly agree,probably yes,yes,extremely comfortable,,that depends ,yes,yes i do know it is ,both,neither unimportant nor important,,probably yes,probably not,no,british english,rarely,,yes,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,agree,,24,canada,female,high school,third year,8,yes ,1,less than 30 minutes
SK,sk,Nova Scotia,strongly agree,probably yes,yes,extremely comfortable,important,yes,no,,zed,very important,definitely yes,definitely yes,probably not,no,british english,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,probably yes,49,canada,male,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,probably yes,yes,moderately uncomfortable,important,that depends ,not sure,,zed,very important,definitely yes,probably not,definitely not,,british english,sometimes,yes,definitely yes,definitely yes,might or might not,neither disagree nor agree,disagree,strongly agree,agree,probably yes,39,canada,female,undergraduate degree,i am not currently studying,0,yes ,0,46 hours
BC,bc,British Columbia,strongly agree,probably yes,yes,moderately comfortable,,no,no,yes but i cant describe it well,both,unimportant,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,strongly disagree,agree,strongly agree,probably yes,24,canada,female,high school,third year,2,yes ,0,46 hours
NS,ns,Nova Scotia,strongly agree,definitely yes,no,,extremely important,yes,no,,both,very important,,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,agree,agree,,neither disagree nor agree,definitely yes,54,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
NS,ns,Nova Scotia,strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,both,important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably not,59,canada,female,other ,i am not currently studying,0,no,,24 hours
