region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
US,us,United States,strongly agree,probably not,no,,important,yes,yes,yes but i cant describe it well,zee,important,probably yes,probably not,definitely not,,british english,sometimes,yes,yes,probably yes,might or might not,strongly disagree,strongly agree,strongly agree,neither disagree nor agree,probably yes,59,united states,female,postgraduate degree,i am not currently studying,0,yes ,13,less than 30 minutes
BC,bc,British Columbia,strongly agree,probably not,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,definitely yes,definitely not,yes ,british english,sometimes,no,no,definitely yes,definitely yes,agree,disagree,agree,strongly disagree,probably yes,24,canada,female,high school,fourth year+,2,yes ,11,12 hours
US,us,United States,strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,that depends ,not sure,,zee,important,might or might not,probably not,definitely not,,british english,often,yes,no,might or might not,probably yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,74,united states,female,,i am not currently studying,1,no,,12 hours
US,us,United States,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,not sure,,zee,,probably yes,,probably not,yes ,no particular variety,sometimes,,no,definitely yes,probably not,strongly disagree,disagree,neither disagree nor agree,neither disagree nor agree,,69,united states,female,graduate degree,i am not currently studying,3,yes ,9,24 hours
US,us,United States,strongly agree,probably not,no,,important,yes,no,,zee,neither unimportant nor important,,probably yes,probably not,no,british english,sometimes,yes,,definitely yes,probably yes,strongly agree,strongly disagree,neither disagree nor agree,disagree,probably yes,84,united states,female,graduate degree,i am not currently studying,0,no,,24 hours
BC,bc,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,definitely yes,agree,strongly disagree,neither disagree nor agree,strongly disagree,definitely yes,24,canada,female,graduate degree,i am not currently studying,4,yes ,3,68 hours
US,us,United States,strongly agree,probably yes,no,,,yes,not sure,,zee,neither unimportant nor important,probably yes,probably yes,,,british english,,yes,neither yes or no,probably yes,definitely yes,agree,agree,strongly agree,agree,probably yes,59,united states,female,undergraduate degree,i am not currently studying,0,no,,more than 8 hours
MB,mb,Manitoba,strongly agree,probably yes,yes,moderately comfortable,extremely unimportant,yes,yes,yes i do know it is ,zed,important,probably yes,probably yes,probably yes,yes ,no particular variety,always,yes,definitely yes,definitely yes,might or might not,agree,agree,agree,neither disagree nor agree,probably yes,64,canada,female,undergraduate degree,i am not currently studying,0,yes ,0,12 hours
US,us,United States,strongly agree,probably yes,yes,does not apply to me ,important,that depends ,no,,zee,important,definitely yes,definitely yes,,,no particular variety,always,yes,no,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,74,united states,female,other ,i am not currently studying,0,no,,30 minutes to 1 hour
US,us,United States,strongly agree,probably yes,no,,important,yes,no,,zee,important,probably yes,probably yes,,,british english,sometimes,yes,yes,might or might not,probably yes,disagree,disagree,,agree,probably yes,59,united states,female,undergraduate degree,i am not currently studying,2,no,,12 hours
